123456,P123456,Alba,CRISAN,albaCRISAN@yahoo.com,Maria,SMITH,210401111,ACCY302,70.5,810,ACCY303,80.3,820,ACCY306,67.5,830,ACCY317,69.77,840
123457,P123457,Liam,SMITH,LiamSMITH@gmail.com,Cristina,STEVENSON,210401112,ACCY302,80.3,820,ACCY303,67.5,830,ACCY306,69.77,840,ACCY317,68.27,850
123458,P123458,Noah,BROWN,NoahBROWN@gmail.com,Liam,WOOD,210401113,ACCY302,67.5,830,ACCY303,69.77,840,ACCY306,68.27,850,ACCY317,66.77,860
123459,P123459,Oliver,WILSON,OliverWILSON@gmail.com,Noah,SUTHERLAND,210401114,ACCY302,69.77,840,ACCY303,68.27,850,ACCY306,66.77,860,ACCY317,65.27,870
123460,P123460,Elijah,THOMSON,ElijahTHOMSON@gmail.com,Oliver,CRAIG,210401115,ACCY302,68.27,850,ACCY303,66.77,860,ACCY306,65.27,870,ACCY317,63.77,1000
123461,P123461,James,ROBERTSON,JamesROBERTSON@gmail.com,Elijah,WRIGHT,210401116,ACCY302,66.77,860,ACCY303,65.27,870,ACCY306,63.77,1000,ACCY317,62.27,1010
123462,P123462,William,CAMPBELL,WilliamCAMPBELL@gmail.com,James,MCKENZIE,210401117,ACCY302,65.27,870,ACCY303,63.77,1000,ACCY306,62.27,1010,ACCY317,60.77,1020
123463,P123463,Benjamin,STEWART,BenjaminSTEWART@gmail.com,William,KENNEDY,210401118,ACCY302,63.77,1000,ACCY303,62.27,1010,ACCY306,60.77,1020,ACCY317,59.27,1030
123464,P123464,Lucas,ANDERSON,LucasANDERSON@gmail.com,Benjamin,JONES,210401119,ACCY302,62.27,1010,ACCY303,60.77,1020,ACCY306,59.27,1030,ACCY317,57.77,810
123465,P123465,Henry,MACDONALD,HenryMACDONALD@gmail.com,Lucas,BURNS,210401120,ACCY302,60.77,1020,ACCY303,59.27,1030,ACCY306,57.77,810,ACCY317,56.27,820
123466,P123466,Theodore,SCOTT,TheodoreSCOTT@gmail.com,Henry,WHITE,210401121,ACCY302,59.27,1030,ACCY303,57.77,810,ACCY306,56.27,820,ACCY317,54.77,830
123467,P123467,Olivia,REID,OliviaREID@gmail.com,Theodore,MUIR,210401122,ACCY302,57.77,810,ACCY303,56.27,820,ACCY306,54.77,830,ACCY317,53.27,840
123468,P123468,Emma,MURRAY,EmmaMURRAY@gmail.com,Olivia,MURPHY,210401123,ACCY302,56.27,820,ACCY303,54.77,830,ACCY306,53.27,840,ACCY317,51.77,850
123469,P123469,Charlotte,TAYLOR,CharlotteTAYLOR@gmail.com,Emma,JOHNSTONE,210401124,ACCY302,54.77,830,ACCY303,53.27,840,ACCY306,51.77,850,ACCY317,50.27,860
123470,P123470,Amelia,CLARK,AmeliaCLARK@gmail.com,Charlotte,HUGHES,210401125,ACCY302,53.27,840,ACCY303,51.77,850,ACCY306,50.27,860,ACCY317,48.77,870
123471,P123471,Ava,MITCHELL,AvaMITCHELL@gmail.com,Amelia,WATT,210401126,ACCY302,51.77,850,ACCY303,50.27,860,ACCY306,48.77,870,ACCY317,47.27,1000
123472,P123472,Sophia,ROSS,SophiaROSS@gmail.com,Ava,MCMILLAN,210401127,ACCY302,50.27,860,ACCY303,48.77,870,ACCY306,47.27,1000,ACCY317,45.77,1010
123473,P123473,Isabella,WALKER,IsabellaWALKER@gmail.com,Sophia,MCINTOSH,210401128,ACCY302,48.77,870,ACCY303,47.27,1000,ACCY306,45.77,1010,ACCY317,44.27,1020
123474,P123474,Mia,PATERSON,MiaPATERSON@gmail.com,Isabella,MILNE,210401129,ACCY302,47.27,1000,ACCY303,45.77,1010,ACCY306,44.27,1020,ACCY317,45.77,1010
123475,P123475,Evelyn,YOUNG,EvelynYOUNG@gmail.com,Mia,MUNRO,210401130,ACCY302,45.77,1010,ACCY303,44.27,1020,ACCY306,45.77,1010,ACCY317,70.5,810
123476,P123476,Harper,WATSON,HarperWATSON@gmail.com,Evelyn,RITCHIE,210401131,ACCY302,44.27,1020,ACCY303,45.77,1010,ACCY306,10.7,810,ACCY317,20.5,1030
